Признак,Важность,std
ca,0.08759740259740276,0.03454765830725319
cp,0.03932900432900446,0.012093370157614556
st_burden,0.01746753246753261,0.004702552191522927
slope,0.01296536796536809,0.0092302504047932
thal,0.012597402597402716,0.010912526085958836
exang,0.009372294372294476,0.004740259740259725
trestbps,0.007922077922078042,0.004942653844568692
sex,0.005692640692640809,0.010440913198961713
thalach,0.005367965367965483,0.0046673011158245995
hr_reserve,0.003939393939394049,0.002795142590018697
restecg,0.0014285714285715144,0.0025650948860650186
chol,0.0012987012987014013,0.0036283667996190854
fbs,0.000974025974026027,0.0005411255411255489
n_risk_factors,4.3290043290051815e-05,0.00037239503320531087
age,0.0,0.0
oldpeak,0.0,0.0
chol_age_ratio,0.0,0.0
bp_age_ratio,0.0,0.0
