Ранг,Модель,Семейство,CV ROC-AUC,± std,Test ROC-AUC,Test Accuracy,Test F1,Test Recall,Test Precision,Log-Loss,Overfit gap,"Время, с"
1,LogReg (tuned),Линейные,0.9061,0.0207,0.9567,0.8689,0.8621,0.8929,0.8333,0.2928,0.0262,0.025
2,LogReg (L1),Линейные,0.9059,0.0167,0.9567,0.8852,0.8772,0.8929,0.8621,0.2944,0.0244,0.0688
3,LogReg (L2),Линейные,0.9044,0.0241,0.961,0.8852,0.8772,0.8929,0.8621,0.2824,0.0291,0.0946
4,Stacking (LogReg),Ансамбль,0.9031,0.018,0.9665,0.8689,0.8667,0.9286,0.8125,0.2704,,0.007
5,Stacking (LogReg (L1)),Ансамбль,0.9025,0.0129,0.9665,0.8852,0.8814,0.9286,0.8387,0.2748,,0.005
6,Blending (Diff. Evolution),Ансамбль,0.9017,0.0162,0.9643,0.8852,0.8772,0.8929,0.8621,0.2942,,5.0874
7,Stacking (RandomForest),Ансамбль,0.9005,0.0223,0.9686,0.9016,0.8966,0.9286,0.8667,0.2561,,0.5266
8,ExtraTrees,Ансамбли,0.8968,0.0246,0.9665,0.9344,0.931,0.9643,0.9,0.3328,0.0858,0.5022
9,Blending (Rank Average),Ансамбль,0.896,0.0189,0.9724,0.918,0.9123,0.9286,0.8966,0.3474,,2.5437
10,Blending (Quality Weighted),Ансамбль,0.8956,0.0172,0.9708,0.918,0.9123,0.9286,0.8966,0.3045,,2.5437
11,Blending (Simple Average),Ансамбль,0.8952,0.0167,0.9697,0.918,0.9123,0.9286,0.8966,0.3043,,2.5437
12,Blending (Optimized (SLSQP)),Ансамбль,0.8952,0.0167,0.9697,0.918,0.9123,0.9286,0.8966,0.3043,,2.5437
13,MLP (PyTorch),Нейросети,0.8918,0.0337,0.9481,0.8689,0.8621,0.8929,0.8333,0.298,0.0457,1.9365
14,SVM (tuned),Метрические,0.89,0.0279,0.9632,0.9016,0.8966,0.9286,0.8667,0.2941,0.0359,0.0319
15,Stacking (GradientBoosting),Ансамбль,0.8862,0.0376,0.9746,0.8852,0.8814,0.9286,0.8387,0.2948,,0.0795
16,RandomForest (tuned),Ансамбли,0.8856,0.0273,0.9784,0.9508,0.9455,0.9286,0.963,0.3721,0.074,0.6935
17,GradientBoosting (tuned),Бустинг,0.8828,0.0237,0.9535,0.9016,0.8929,0.8929,0.8929,0.3732,0.0738,0.1703
18,LightGBM,Бустинг,0.871,0.0138,0.9556,0.918,0.9153,0.9643,0.871,0.2756,0.129,0.0528
19,RandomForest,Ансамбли,0.8667,0.0307,0.9719,0.918,0.9123,0.9286,0.8966,0.3298,0.1312,0.7331
20,XGBoost,Бустинг,0.8658,0.0183,0.9589,0.9016,0.8966,0.9286,0.8667,0.2624,0.1342,0.1301
21,AdaBoost,Ансамбли,0.8638,0.0132,0.9675,0.9344,0.931,0.9643,0.9,0.5361,0.1184,0.4597
22,SVM (RBF),Метрические,0.8635,0.0123,0.9621,0.918,0.9153,0.9643,0.871,0.3183,0.0891,0.0933
23,NaiveBayes,Вероятностные,0.8607,0.0413,0.8517,0.6393,0.6944,0.8929,0.5682,3.8223,0.0258,0.1042
24,CatBoost,Бустинг,0.8605,0.0253,0.9643,0.9344,0.931,0.9643,0.9,0.2676,0.1392,0.3266
25,GradientBoosting,Бустинг,0.8535,0.022,0.9632,0.9016,0.8966,0.9286,0.8667,0.2692,0.1465,0.3155
26,KNN (k=15),Метрические,0.8241,0.0362,0.9605,0.9016,0.8889,0.8571,0.9231,0.3257,0.0522,0.1483
27,MLP (без регуляр.),Нейросети,0.7997,0.0391,0.934,0.8525,0.8475,0.8929,0.8065,0.8781,0.2003,6.0018
28,DecisionTree,Деревья,0.7652,0.0759,0.8517,0.7869,0.7797,0.8214,0.7419,2.1336,0.1899,0.0332
